,Bus65,Bus104,Bus105,Bus114,Bus115,Bus125,Bus126,Bus127,Bus135,Bus136,Bus147
Bus65,-3.6573685749165845,0.17351728584381343,0.2554822942513666,0.029183833024910313,0.21233020527418114,0.032410662763705946,0.05162119557210937,0.10720085944773128,0.10899623545587267,0.13316133403523223,0.08152724118130729
Bus104,0.17351728584381343,-9.79811660262995,2.3469736023129673,0.19569258614313662,1.4242665107445265,0.11547919226100346,0.18374318355301716,0.38146790627609917,0.45662381217719794,0.5588305150817101,0.23318350342708455
Bus105,0.25548229425136654,2.3469736023129673,-13.36090678295441,0.2942189267104972,2.1043630323782865,0.17069604330328775,0.27134108492041037,0.5631087459111781,0.6741958068194467,0.8250971881515415,0.34408437840462885
Bus114,0.02918383302491032,0.19569258614313662,0.2942189267104972,-2.1664617484555433,0.5661874064975767,0.028936148091344524,0.04460078669648628,0.09570783789703852,0.11527486135705944,0.13840240161303605,0.0643832673387873
Bus115,0.21233020527418114,1.4242665107445265,2.1043630323782865,0.5661874064975767,-12.0284639252028,0.2030569243579395,0.3208555620444417,0.670523533165834,0.8105923974231227,0.9848175871772252,0.4527523680376034
Bus125,0.032410662763705946,0.11547919226100346,0.17069604330328775,0.028936148091344524,0.2030569243579395,-8.750884852694192,1.2600249611683938,2.6252356471632057,1.594260364766406,1.944206910661768,0.14643578737878485
Bus126,0.051621195572109375,0.18374318355301714,0.27134108492041037,0.04460078669648628,0.3208555620444417,1.2600249611683938,-13.138689893059903,4.158237973552382,2.525552143107455,3.080386745999403,0.2321077525530822
Bus127,0.10720085944773125,0.38146790627609917,0.5631087459111781,0.09570783789703852,0.6705235331658339,2.6252356471632057,4.158237973552382,-22.858348613194153,5.262343793488183,6.417539523099963,0.48346232843628995
Bus135,0.10899623545587267,0.45662381217719794,0.6741958068194466,0.11527486135705944,0.8105923974231227,1.594260364766406,2.525552143107455,5.262343793488183,-22.89577744758545,8.463690476728296,0.5776167474199121
Bus136,0.1331613340352322,0.5588305150817101,0.8250971881515415,0.13840240161303605,0.9848175871772252,1.944206910661768,3.080386745999403,6.417539523099964,8.463690476728296,-26.060125657950245,0.7046223301797618
Bus147,0.0815272411813073,0.23318350342708455,0.34408437840462885,0.0643832673387873,0.4527523680376034,0.14643578737878485,0.2321077525530822,0.48346232843628995,0.5776167474199121,0.7046223301797618,-5.226141557871971
