,Bus65,Bus104,Bus105,Bus114,Bus115,Bus125,Bus126,Bus127,Bus135,Bus136,Bus147
Bus65,-3.6570784953010005,0.17294869160508664,0.25535978534307,0.030339041971297567,0.2120324592791658,0.03250073673195709,0.05148280455758619,0.10727379546484443,0.10898230540474632,0.13291622753141108,0.08153866403130097
Bus104,0.17294869160508664,-9.801196431793555,2.3453152294552733,0.20361684707114347,1.4250297161171503,0.11560025497909139,0.18323342904891013,0.38169124938722954,0.4569159341593497,0.5572268378404547,0.23289652932462915
Bus105,0.25535978534307,2.3453152294552733,-13.36244830929289,0.30092340358971525,2.1041622753327793,0.17078025928784132,0.27065505524423905,0.5638373244387869,0.674835396657727,0.823005768422815,0.3438522831459952
Bus114,0.03033904197129756,0.20361684707114341,0.3009234035897153,-2.1817981331993694,0.5590817453397036,0.028821023471260244,0.045776222138390846,0.0952690344297097,0.1154965508358634,0.14081346413073878,0.06503662953260016
Bus115,0.21203245927916586,1.4250297161171506,2.10416227533278,0.5590817453397037,-12.025219945431344,0.20289066033870412,0.32147704347198613,0.6697738392653529,0.8095825263658416,0.9873697122991956,0.4529588008586808
Bus125,0.03250073673195707,0.11560025497909138,0.1707802592878413,0.028821023471260233,0.20289066033870407,-8.75085921424223,1.260005396989534,2.6252847973014943,1.5942512647766416,1.944205848847618,0.14644282661125257
Bus126,0.051482804557586206,0.18323342904891013,0.27065505524423905,0.045776222138390846,0.32147704347198613,1.2600053969895344,-13.138733863672769,4.158212906279401,2.5255851305324355,3.0801542212321156,0.23207014676919901
Bus127,0.1072737954648445,0.3816912493872295,0.5638373244387869,0.0952690344297097,0.669773839265353,2.625284797301496,4.1582129062794015,-22.858275343173954,5.26231974560132,6.417657008033209,0.48346960348060547
Bus135,0.10898230540474631,0.45691593415934967,0.674835396657727,0.1154965508358634,0.8095825263658416,1.5942512647766418,2.5255851305324346,5.262319745601319,-22.895874614703057,8.463851181781779,0.5776352232467388
Bus136,0.13291622753141105,0.5572268378404543,0.8230057684228146,0.14081346413073872,0.9873697122991952,1.9442058488476175,3.080154221232114,6.417657008033206,8.463851181781775,-26.060800330564394,0.7044857229274404
Bus147,0.08153866403130096,0.23289652932462912,0.34385228314599514,0.06503662953260012,0.45295880085868045,0.14644282661125263,0.23207014676919896,0.4834696034806056,0.577635223246739,0.7044857229274406,-5.226174193967141
